,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel
919,204,31,2912,,18,2
920,1343,49,24444,3447,11,0
921,1315,35,9358,19513,12,1
922,,69,12145,,20,0
923,991,71,17759,2659,13,1
924,913,48,13934,8847,11,1
925,1115,54,15174,2045,13,0
926,885,58,8544,,16,1
927,810,57,15678,4851,22,1
928,817,56,18597,8120,12,0
929,693,65,24785,4577,14,0
930,1179,84,11924,5405,14,0
931,316,54,9983,,15,1
932,381,49,2104,3708,14,0
933,217,49,10225,13770,12,2
934,933,57,20366,,12,0
935,775,47,23683,,18,1
936,804,86,22929,,20,0
937,1090,83,17967,2297,14,2
938,346,86,10919,2450,17,0
939,310,79,19630,,18,0
940,725,78,21199,,13,1
941,575,71,5288,,14,1
942,182,72,13551,,16,0
943,829,84,24008,4342,19,1
944,384,72,20317,2572,16,1
945,921,38,24375,,21,2
946,1111,93,13305,6500,17,1
947,1325,82,21821,3149,20,1
948,118,69,26507,5324,15,0
949,1258,40,13301,,13,0
950,890,,16374,4382,17,0
951,1041,36,25527,,13,1
952,702,100,8306,2553,16,0
953,829,,2243,,19,1
954,625,50,5197,5933,12,0
955,,73,9250,4403,11,1
956,661,78,20715,10934,18,1
957,,,19146,,22,2
958,986,62,5044,,24,1
959,,96,16612,2022,19,1
960,583,87,18154,4256,12,0
961,1418,36,10554,3580,16,1
962,1269,,10778,,17,0
963,395,98,12102,2899,19,1
964,341,48,23522,,19,3
965,,33,21782,5562,13,1
966,821,98,24252,,14,0
967,500,49,22052,,13,0
968,1454,65,13137,,18,0
969,617,34,10022,,19,1
970,995,77,9834,2377,18,1
971,1122,70,4303,2404,21,0
972,1198,100,3339,2799,11,0
973,188,65,23293,,18,0
974,1219,86,6179,,16,0
975,335,46,10322,,22,0
976,461,53,17241,3452,18,0
977,1134,37,12086,2811,14,1
978,138,48,11539,,11,0
979,1206,41,24117,4377,15,2
980,622,39,10074,,24,1
981,109,60,25725,,17,0
982,277,97,13119,4240,13,0
983,549,42,23371,,14,0
984,1055,47,4658,4227,18,1
985,802,45,9541,3917,20,1
986,265,79,21813,4969,18,0
987,1038,,21437,,19,0
988,342,57,15346,2042,14,1
989,1186,44,2997,2821,16,1
990,430,40,21445,,17,2
991,769,54,17205,,14,0
992,1176,85,9096,9957,15,1
993,1277,87,5869,,19,3
994,1091,65,15813,,18,1
995,654,34,21214,,15,1
996,895,50,22482,2207,16,1
997,618,45,22266,7756,17,0
998,1017,55,2993,,20,0
999,970,30,13401,,17,1
1000,984,70,25326,2070,11,0
1001,793,67,21981,2791,12,1
1002,1182,54,18500,,11,1
1003,1003,95,15834,,11,0
1004,603,77,18385,8224,17,0
1005,874,72,6233,2610,12,1
1006,367,52,17171,5731,13,2
1007,199,55,7950,2539,13,1
1008,,,26537,2376,13,1
1009,718,92,18575,,13,1
1010,1457,83,20100,,19,1
1011,805,87,12828,,12,0
1012,1421,30,9490,,22,1
1013,1450,52,10849,19081,11,1
1014,116,77,7331,2743,20,1
1015,1212,78,13755,,11,1
1016,1010,97,5598,3760,15,3
1017,,45,25308,,20,0
1018,131,86,6039,4538,12,0
1019,791,44,6842,,11,0
1020,735,66,6020,,14,0
1021,193,52,14222,3867,12,1
1022,640,84,4732,2080,11,0
1023,266,40,18830,2096,18,0
1024,848,88,26076,,12,2
1025,,93,22154,3904,13,0
1026,1138,48,23631,4627,12,1
1027,,43,22422,,11,0
1028,256,40,22074,,13,0
1029,,54,8319,2302,11,0
1030,935,89,14669,,12,0
1031,458,74,8532,,16,1
1032,882,67,9075,,11,3
1033,329,88,6762,,22,1
1034,,82,24439,,16,0
1035,793,43,20392,5071,20,0
1036,662,67,23288,,18,1
1037,693,57,15748,,11,3
1038,,98,21057,,15,2
1039,541,52,15395,10596,11,0
1040,1200,75,13953,5467,14,2
1041,499,36,20497,,13,3
1042,1372,93,12477,,11,0
1043,,98,7100,5769,11,0
1044,,51,25681,2394,13,0
1045,1462,94,19106,3629,18,0
1046,200,60,19944,9362,11,0
1047,949,81,4910,3229,11,1
1048,,73,12761,,14,2
1049,182,93,8847,16422,11,0
1050,329,98,13494,5647,13,2
1051,383,68,15182,4400,12,0
1052,1255,90,10494,2066,22,1
1053,,90,5561,,12,0
1054,1398,96,24609,,18,0
1055,523,94,21081,,13,1
1056,1221,96,24795,5486,11,3
1057,1107,52,3072,,15,0
1058,981,90,7973,3162,14,0
1059,1495,96,21534,6651,14,1
1060,1467,49,21158,3420,13,0
1061,1496,92,15747,2909,15,1
1062,1193,86,19719,,18,0
1063,1229,30,16143,,16,0
1064,467,55,11827,4898,14,0
1065,271,43,23070,,25,1
1066,410,97,4668,3180,13,3
1067,495,64,21072,11244,25,0
1068,561,33,4156,,12,0
1069,1142,72,8841,4069,18,0
1070,1157,70,17001,,21,0
1071,1242,46,10589,6392,13,1
1072,1288,33,17799,,12,1
1073,903,81,7653,4855,11,2
1074,1108,65,16530,,12,1
1075,1351,45,13008,,17,1
1076,437,90,16379,,12,0
1077,,51,4223,,16,0
1078,977,45,12826,,16,1
1079,1302,80,19711,,13,1
1080,653,92,15332,,14,1
1081,457,85,10293,,14,0
1082,634,35,18783,3312,17,2
1083,715,54,21602,,13,0
1084,559,76,12421,,12,2
1085,546,97,26009,3117,18,0
1086,1176,,5220,,11,1
1087,711,81,3140,,13,0
1088,448,84,19948,,15,0
1089,365,89,5602,15202,25,1
1090,763,59,22098,,14,2
1091,486,86,22490,,17,0
1092,591,87,6297,2580,13,0
1093,1329,,3339,2166,14,0
1094,469,42,23413,,11,0
1095,711,42,22792,,12,2
1096,301,72,3498,,16,2
1097,1141,31,13251,,19,0
1098,894,33,15411,4374,15,0
1099,392,93,3921,5505,14,2
1100,,74,24941,2587,16,1
1101,1225,47,21086,15972,14,3
1102,727,54,21082,,11,0
1103,1351,80,7419,,14,2
1104,528,44,4167,,18,3
1105,1441,94,23737,,12,1
1106,427,99,25103,,21,1
1107,390,62,6217,2305,15,3
1108,585,,17360,3433,13,1
1109,741,69,18103,3477,14,1
1110,552,60,20794,,19,1
1111,506,91,3622,3907,13,3
1112,1456,96,8658,,13,3
1113,160,51,12862,,13,0
1114,897,59,2097,,14,1
1115,600,,9732,,11,1
1116,1003,51,20943,,19,1
1117,1054,67,6152,3445,11,0
1118,428,,14630,2760,13,0
1119,461,70,23060,6294,12,0
1120,661,60,22308,,20,3
1121,511,32,25353,,12,0
1122,942,53,22984,13116,11,0
1123,589,46,8800,,14,2
1124,849,98,25166,,15,0
1125,343,52,24978,,13,0
1126,,85,15530,,12,0
1127,1125,,8277,,14,2
1128,1217,67,12719,3591,25,1
1129,723,77,4244,5405,20,2
1130,1216,87,21624,,14,0
1131,350,56,3157,,15,3
1132,207,64,5411,2105,12,0
1133,280,43,10494,,15,1
1134,414,82,26186,,12,0
1135,,41,5141,3902,14,3
1136,836,98,7975,2662,20,1
1137,592,59,19384,2062,14,0
1138,219,44,25388,,11,0
1139,967,85,14460,,23,1
1140,,,10261,2587,16,0
1141,335,33,16822,5507,16,2
1142,1079,86,20115,,11,1
1143,735,75,16495,8103,12,0
1144,471,62,16031,3978,12,1
1145,,44,14511,5399,12,0
1146,1251,32,3987,,19,1
1147,1206,71,14293,,19,2
1148,976,48,3995,,13,1
1149,1168,66,5843,10448,13,0
1150,1444,,5224,,11,1
1151,,77,25198,4440,19,0
1152,571,78,13672,,13,0
1153,977,57,7298,,19,1
1154,1154,54,6393,,19,1
1155,1490,43,20232,2660,11,1
1156,581,63,17624,3375,12,0
1157,267,49,15919,,13,0
1158,234,68,18024,2269,14,1
1159,501,58,25479,,11,0
1160,688,97,9192,,13,3
1161,1092,36,26124,4787,14,3
1162,529,78,11288,,14,0
1163,1322,52,2725,2809,14,0
1164,1199,80,24594,,14,2
1165,410,39,16586,10854,13,1
1166,1167,30,21378,,18,0
1167,884,41,12290,2571,17,1
1168,155,87,5174,6142,20,1
1169,924,78,6670,2496,11,0
1170,852,82,13072,3419,14,1
1171,1082,87,18775,2501,17,0
1172,,100,19299,,14,1
1173,1450,79,25326,2566,15,1
1174,134,90,10515,,14,0
1175,635,73,7703,,13,0
1176,1017,83,18697,3920,14,1
1177,1311,,26062,,20,0
1178,1302,,16321,,18,1
1179,1091,90,17810,13964,12,0
1180,755,97,19394,6540,19,0
1181,253,43,24440,2244,13,1
1182,922,95,22578,16184,19,1
1183,1365,46,11512,4233,17,0
1184,306,100,5630,,14,2
1185,970,59,13514,14814,19,0
1186,970,96,7360,,11,0
1187,,94,5200,17159,24,1
1188,1169,63,23965,,13,1
1189,1271,35,9068,,14,0
1190,618,76,17808,2318,19,0
1191,1469,,25063,3617,14,1
1192,625,46,14922,,11,0
1193,1404,84,18203,,15,1
1194,1391,66,12127,2684,17,1
1195,216,75,12278,,11,1
1196,1333,87,18410,,19,1
1197,1464,62,12853,19237,11,1
1198,1330,37,19373,2377,20,1
1199,773,39,22088,,14,1
1200,1485,79,22955,,11,0
1201,902,92,21203,4422,13,1
1202,645,54,7172,2552,25,0
1203,654,43,5050,2678,17,0
1204,107,84,11591,,12,1
1205,504,96,6148,,25,0
1206,326,48,16490,5171,17,0
1207,634,95,25927,11916,23,2
1208,1448,55,14720,9380,18,2
1209,896,68,8045,,14,1
1210,1358,96,2939,,15,2
1211,,57,10036,,14,3
1212,824,67,15624,5878,12,1
1213,329,51,7324,,17,3
1214,1313,,8191,,12,0
1215,594,75,15963,2468,14,1
1216,734,46,14218,,17,1
1217,234,93,6208,,17,1
1218,766,83,19188,4127,18,1
1219,920,69,6889,2148,11,0
1220,431,68,15696,,15,1
1221,1213,94,4223,3886,21,0
1222,238,47,15318,,14,0
1223,1146,,16542,6667,18,1
1224,1404,32,18779,,12,1
1225,1313,59,20439,,12,3
1226,1373,92,2396,2090,15,0
1227,1324,81,9964,,20,3
1228,1358,67,13335,,22,1
1229,1123,96,7324,,13,2
1230,391,96,19281,,14,0
1231,125,83,16117,,13,0
1232,895,56,3335,2086,14,1
1233,813,61,3020,,16,1
1234,,75,10910,1951,12,1
1235,1240,33,19715,,13,1
1236,1357,48,10558,,12,0
1237,,73,10227,3022,21,0
1238,1229,36,4892,,19,0
1239,626,98,19294,,13,0
1240,1097,79,8302,,13,1
1241,836,,19730,,14,3
1242,1339,59,18787,9724,17,1
1243,318,,21777,3388,17,1
1244,132,55,22002,3038,12,0
1245,193,52,15067,,14,0
1246,111,70,18092,,14,1
1247,541,62,9518,2322,13,1
1248,827,71,15178,,13,0
1249,871,66,19783,2926,18,0
1250,1040,100,15850,,14,1
1251,,59,23785,,15,0
1252,1031,45,15000,4505,15,1
1253,922,39,2561,2835,22,1
1254,528,,26820,,19,0
1255,,94,6961,,21,1
1256,,79,16102,,14,0
1257,1169,34,13983,,17,0
1258,1145,75,11873,,20,1
1259,602,100,20989,,21,0
1260,303,,9241,,22,0
1261,556,50,15497,,13,0
1262,1261,,7259,6553,14,0
1263,1180,70,11354,6673,19,0
1264,896,75,14674,13591,18,0
1265,142,70,8456,2177,17,1
1266,854,68,24118,19517,11,1
1267,1411,36,19877,,16,2
1268,252,70,15970,19202,11,1
1269,504,61,22573,10048,11,2
1270,833,96,23231,2723,11,0
1271,529,79,14935,,11,0
1272,1210,78,3687,6644,19,2
1273,1463,64,14408,,21,1
1274,322,44,19191,5605,24,1
1275,920,43,19920,3161,22,1
1276,506,30,26285,,12,0
1277,,54,25233,1420,13,0
1278,566,81,7122,,18,2
1279,812,69,9724,1200,12,0
1280,1162,41,17778,5238,18,0
1281,1001,43,9262,9985,16,1
1282,1309,99,25751,,19,0
1283,810,44,15901,15992,14,0
1284,1062,75,3956,2370,13,1
1285,530,91,23978,,21,1
1286,1332,98,17078,6781,23,0
1287,845,45,15276,6653,15,0
1288,350,34,9150,2851,13,0
1289,1144,30,16044,5258,14,0
1290,156,90,25422,,15,0
1291,202,72,17434,2476,18,1
1292,464,40,3427,2285,23,0
1293,1305,49,21123,4197,12,0
1294,555,78,13436,3448,22,1
1295,1300,79,13535,4558,12,1
1296,1490,42,12106,1702,23,1
1297,489,,18437,2564,12,0
1298,210,56,22102,,12,1
1299,983,65,7389,5070,13,3
1300,548,42,23428,3780,11,0
1301,534,66,22908,9824,12,0
1302,1306,69,8059,1878,14,0
1303,1094,58,11373,,15,1
1304,775,45,4267,,12,2
1305,471,66,23213,2340,18,0
1306,1495,76,22174,,19,1
1307,823,94,9100,2127,21,1
1308,448,74,14470,2033,18,1
1309,558,75,3010,9602,11,1
1310,959,83,11757,,13,0
1311,782,50,2671,16627,14,1
1312,362,,14561,,17,0
1313,1216,39,20431,,12,0
1314,160,71,22653,2083,20,1
1315,,62,3487,,14,1
1316,1362,32,26999,1009,11,0
1317,727,41,16900,,18,2
1318,1225,80,15232,,17,0
1319,168,81,15397,7861,14,0
1320,1396,,2755,2642,11,0
1321,1225,61,4761,,11,1
1322,268,92,20471,,13,1
1323,167,32,4187,5121,14,1
1324,1243,,3445,,21,2
1325,1092,60,26551,2694,11,3
1326,805,36,6689,,11,1
1327,720,51,11983,5094,14,0
1328,,52,20234,,24,0
1329,252,95,6153,2274,14,0
1330,443,50,16571,,11,3
1331,342,66,24558,,19,2
1332,300,61,9148,2314,12,1
1333,868,73,22789,,14,1
1334,1252,32,4814,,13,0
1335,374,87,18016,,24,0
1336,781,57,13384,2380,14,1
1337,177,55,23814,,21,1
1338,1427,65,8870,,19,0
1339,546,83,6896,2008,14,2
1340,1272,37,9255,10552,13,1
1341,,51,5543,2259,17,2
1342,1184,70,3974,,20,0
1343,867,36,18798,2413,18,3
1344,658,67,20652,,12,1
1345,419,37,9947,2121,13,0
1346,129,84,13008,,19,0
1347,1069,42,12291,,14,0
1348,289,51,26227,2479,24,0
1349,1479,100,17071,13194,16,0
1350,906,92,11479,,20,0
1351,955,83,8571,4163,17,0
1352,287,73,13493,,15,0
1353,1097,98,18275,2600,15,0
1354,265,90,7770,18303,13,0
1355,804,64,20165,2380,18,0
1356,1141,61,14382,4777,15,0
1357,,42,4981,,12,0
1358,660,81,7858,,14,1
1359,1144,74,23384,1052,22,0
1360,415,,5268,,13,1
1361,1334,36,17258,,13,0
1362,1323,34,10332,2461,12,3
1363,309,88,24223,,14,3
1364,1009,45,7160,2596,15,2
1365,,81,17251,4728,14,0
1366,697,40,22478,,17,3
1367,130,32,20619,7351,16,0
1368,188,56,9558,,19,0
1369,247,80,13556,,12,0
1370,167,46,9051,4766,11,1
1371,982,58,16340,2258,12,1
1372,862,76,14947,2827,12,3
1373,1256,48,4223,2853,11,1
1374,111,74,4279,2290,13,0
1375,906,95,20293,2107,17,1
1376,1184,62,25440,,12,3
1377,984,97,3372,2210,13,1
1378,458,60,23281,13191,17,0
1379,1098,85,12124,,13,1
1380,969,76,16620,,11,0
1381,1329,82,4204,,11,2
1382,715,76,8733,18265,12,0
1383,1320,89,21643,,17,0
1384,265,57,21221,,12,0
1385,373,47,16901,,22,1
1386,599,73,8040,1118,14,0
1387,603,78,5628,2372,16,0
1388,968,40,4257,2838,14,0
1389,364,,13035,18061,22,0
1390,1291,98,6527,,14,1
1391,1124,97,19305,1611,15,0
1392,703,90,11882,,14,0
1393,,50,16154,,12,0
1394,202,34,22262,,12,0
1395,1377,91,7679,,14,0
1396,592,54,17181,,23,0
1397,383,79,9282,4768,12,1
1398,990,,7152,1274,13,2
1399,660,76,16192,2404,13,1
1400,381,89,16998,,11,0
1401,830,78,7103,2033,13,1
1402,289,,5355,2561,11,0
1403,1423,72,12530,1563,14,1
1404,516,69,22049,6388,17,0
1405,1089,32,9150,8376,18,0
1406,1210,68,24052,4841,14,1
1407,598,91,22376,,18,2
1408,992,68,21731,,19,0
1409,104,69,26619,2074,12,1
1410,479,35,22061,2972,13,0
1411,474,89,11133,,21,0
1412,884,73,21447,6815,13,0
1413,264,59,19519,,16,1
1414,1059,93,26362,,22,0
1415,1349,63,7713,2690,18,1
1416,563,56,3156,17567,15,0
1417,544,70,18420,1569,12,0
1418,991,43,3356,4187,13,1
1419,1112,67,22589,,11,2
1420,1206,80,11591,,16,0
1421,1495,87,26176,3306,19,1
1422,1259,95,24852,1393,12,0
1423,,92,20467,10883,20,1
1424,240,58,11585,,11,1
1425,369,92,5041,,16,1
1426,793,33,3811,2862,12,1
1427,543,87,3536,,11,1
1428,964,,12147,6735,15,0
1429,176,56,6595,9756,21,2
1430,181,97,5586,,14,3
1431,211,74,10092,,20,0
1432,1079,70,19002,,13,3
1433,590,91,10007,,13,1
1434,305,58,9128,5294,16,1
1435,833,60,24539,,16,1
1436,807,38,15587,2437,16,1
1437,478,60,19805,,12,3
1438,337,31,4567,,13,0
1439,1294,79,15999,,17,0
1440,1239,89,12832,4071,13,0
1441,1128,95,5696,,18,2
1442,1431,33,8018,,16,0
1443,359,89,21495,2956,17,0
1444,430,73,19573,,22,1
1445,1318,79,26075,4648,13,0
1446,726,93,21143,,17,2
1447,1142,,13624,,13,0
1448,352,87,15434,2804,11,0
1449,,73,14753,2439,24,0
1450,1172,78,3692,2856,19,1
1451,945,89,16019,,13,0
1452,391,75,26092,,23,0
1453,482,90,14908,2933,13,1
1454,170,78,9364,,15,1
1455,746,45,10642,1091,17,0
1456,1475,84,23352,,11,0
1457,1443,89,20328,,16,1
1458,867,87,12315,5151,25,1
1459,605,72,11761,,13,1
1460,419,77,2900,,12,2
1461,1337,58,19555,2863,12,0
1462,1404,59,11473,2858,14,0
1463,1373,56,10138,,24,0
1464,1276,59,17536,1129,11,3
1465,309,82,19655,,14,0
1466,543,83,4060,,19,2
1467,105,87,15302,19431,13,0
1468,638,33,26956,,19,1
1469,1146,31,16642,,16,0
1470,1440,55,4944,2308,25,1
1471,1103,49,2122,2144,14,0
1472,136,89,6225,5373,12,1
1473,147,94,3465,,12,1
1474,119,76,9647,,12,2
1475,1413,42,6599,,14,1
1476,452,81,18938,19045,14,0
1477,334,88,15896,16015,19,0
1478,1132,48,10942,9613,17,3
1479,,92,15682,11510,14,1
1480,982,,4345,,11,1
1481,480,31,4156,4306,12,1
1482,1099,88,9314,17046,15,1
1483,1038,88,21437,,19,0
1484,342,57,15346,2042,14,1
1485,1186,44,2997,2821,16,1
1486,430,40,21445,,17,2
1487,984,70,25326,2070,11,0
1488,793,67,21981,2791,12,1
1489,1182,54,18500,,11,1
1490,1003,95,15834,,11,0
1491,603,77,18385,8224,17,0
1492,874,72,6233,2610,12,1
1493,367,52,17171,5731,13,2
1494,199,55,7950,2539,13,1
1495,,47,26537,2376,13,1
1496,718,92,18575,,13,1
1497,1457,83,20100,,19,1
1498,244,97,5033,3539,13,0
1499,196,91,13402,5468,14,2
1500,303,84,13492,5813,18,0
1501,1180,90,24442,,14,1
1502,1092,64,2739,9667,14,0
1503,261,66,10842,,22,1
1504,589,67,19665,5154,22,2
1505,1422,92,19246,5675,20,1
1506,,64,14011,7314,21,3
1507,1137,98,18991,,11,1
1508,511,89,26997,,14,0
1509,1396,83,14842,,13,1
1510,1096,61,7102,,18,1
1511,,42,19255,,12,1
1512,691,86,10077,,12,1
1513,106,62,17822,6410,12,0
1514,,32,7747,,18,1
1515,723,85,17747,4941,15,0
1516,1157,84,24737,,13,0
1517,1482,42,16375,,11,1
1518,738,30,7621,3983,17,0
1519,1192,61,23177,6347,16,2
1520,1309,83,16092,2904,12,2
1521,544,52,24017,2696,11,1
1522,641,85,6069,,12,1
1523,756,99,9150,2174,11,0
1524,593,88,2967,6755,11,0
1525,895,39,2851,,24,0
1526,408,42,7551,2657,16,0
1527,1283,54,18168,,16,0
1528,1469,82,17881,,11,1
1529,1261,31,12066,10965,24,0
1530,329,96,11868,2543,13,1
1531,1362,67,4652,5304,13,0
1532,1371,77,5915,,12,1
1533,201,95,20490,,16,1
1534,821,86,8509,19406,11,1
1535,1381,72,12740,6538,15,1
1536,313,61,15238,2258,20,1
1537,1473,74,2227,,14,0
1538,329,98,16193,2218,12,1
1539,688,91,9396,,13,1
1540,192,69,9655,2654,21,2
1541,1385,79,7501,,14,0
1542,666,88,10268,,12,1
1543,1315,71,19100,,18,1
1544,442,44,20260,,18,0
1545,147,37,15972,,19,1
1546,950,48,8450,5828,12,0
1547,218,100,12241,,11,1
1548,,33,10675,2455,19,0
1549,691,73,7143,,12,3
1550,1018,74,10557,5055,16,0
1551,,46,4317,4682,14,0
1552,559,82,6227,5257,11,1
1553,318,77,4759,2119,11,0
1554,1130,56,3415,,18,1
1555,144,39,11866,,14,2
1556,1319,51,17001,5974,13,2
1557,933,57,20156,,17,1
1558,1171,46,22495,,13,1
1559,143,56,9558,,18,0
1560,1178,87,14862,,11,1
1561,1107,95,26914,3034,12,1
1562,906,86,18256,13212,11,3
1563,645,49,19566,8392,16,1
1564,1485,87,26314,,14,1
1565,1116,49,7181,,14,0
1566,1276,,14295,,12,0
1567,163,37,19658,4051,14,1
1568,561,61,16177,4805,19,1
1569,426,58,22808,2741,11,1
1570,509,62,2112,,17,0
1571,258,74,19921,5337,12,0
1572,525,66,6219,,22,2
1573,,72,19627,,13,1
1574,238,34,7507,,20,0
1575,482,36,9606,9434,15,1
1576,397,88,6729,,15,1
1577,243,46,7791,,20,0
1578,806,,18959,,18,1
1579,1442,46,17654,,14,0
1580,408,80,20978,,11,0
1581,929,55,21703,5396,12,0
1582,827,33,19383,,13,0
1583,,68,6009,,11,0
1584,1018,39,19373,11159,15,0
1585,703,42,11825,4960,12,0
1586,294,32,4809,8793,21,2
1587,314,59,19562,19189,12,1
1588,654,67,3872,2216,13,0
1589,427,63,20335,11713,14,1
1590,501,99,25275,5304,23,1
1591,,81,20420,11103,11,0
1592,954,46,12388,6632,13,0
1593,1434,76,14229,7587,15,0
1594,657,66,25549,4335,12,1
1595,240,75,26085,5980,12,0
1596,791,38,9931,4244,24,1
1597,570,66,16225,,13,1
1598,676,35,23361,5228,15,1
1599,,81,23779,2700,24,1
1600,436,37,21519,,16,0
1601,760,81,3698,,20,0
1602,,88,20898,2366,14,1
1603,661,61,7508,,13,0
1604,1085,,17725,,13,1
1605,154,,11737,2329,15,0
1606,1283,52,11148,4294,12,0
1607,616,41,17369,,11,2
1608,498,93,13554,6725,12,1
1609,530,51,5518,10325,11,1
1610,805,57,23163,4447,12,0
1611,903,41,2560,,18,0
1612,1229,84,25952,,13,2
1613,566,75,24208,10845,13,1
