,EmployeeID,Age,Gender,MaritalStatus,NumberChildren,DateBirth,Over18,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,OverTime,DistanceFromHome,RemoteWork,BusinessTravel,TrainingTimesLastYear,Department,JobRole,JobLevel,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,Salary,StandardHours
338,722,32,Male,,,1991,,3,Marketing,1,"10,0",10,,0,8,1,4,4,2.0,3,3.0,No,,10,1,,2,, sales executive ,2,929.0,55.0,21703.0,5396.0,12,0,1000000000,
339,724,38,Female,,,1985,Y,4,Life Sciences,0,"10,0",9,,1,8,1,4,3,,4,3.0,No,,1,1,travel_rarely,4,, healthcare representative ,2,827.0,33.0,19383.0,,13,0,1000000000,
340,725,27,Female,Married,,1996,,2,Life Sciences,1,"9,0",9,,0,7,1,1,4,3.0,3,3.0,No,,1,0,travel_rarely,3,, manufacturing director ,3,,,6009.0,,11,0,1000000000,
341,nan95,32,Female,Single,,1991,,2,Life Sciences,3,"10,0",7,,7,7,1,4,4,3.0,3,3.0,No,,3,0,travel_rarely,6,, research director ,3,1018.0,39.0,19373.0,11159.0,15,0,1000000000,
342,728,47,Male,Single,,1976,,4,Marketing,2,"20,0",7,,1,7,1,1,4,3.0,3,3.0,No,,35,0,,2,, sales executive ,2,703.0,42.0,11825.0,4960.0,12,0,1000000000,
343,733,27,Male,,,1996,Y,2,,1,"9,0",9,,1,7,1,1,3,2.0,3,4.0,No,No,10,1,travel_frequently,4,, manufacturing director ,3,294.0,32.0,4809.0,8793.0,21,2,1000000000,
344,734,41,Male,,,1982,Y,3,,1,"22,0",22,,2,10,1,3,2,3.0,2,,No,No,1,0,,3,, manager ,5,314.0,59.0,19562.0,19189.0,12,1,1000000000,80.0
345,nan96,28,Female,,,1995,,2,,7,"10,0",7,,3,7,3,2,4,3.0,1,3.0,Yes,Yes,35,1,,4, Research & Development , research scientist ,1,654.0,67.0,3872.0,2216.0,13,0,1000000000,80.0
346,742,36,Female,Married,,1987,Y,3,,9,"10,0",8,,0,5,1,1,1,3.0,4,3.0,No,,8,0,,2, Research & Development , research director ,3,427.0,63.0,20335.0,11713.0,14,1,1000000000,80.0
347,747,30,Male,Divorced,,1993,Y,5,Marketing,7,"10,0",8,,7,7,1,4,4,2.0,3,,No,No,27,1,,2,, sales executive ,2,501.0,99.0,25275.0,5304.0,23,1,1000000000,80.0
348,762,56,Male,Married,,1967,,3,,7,"30,0",10,,1,1,1,4,3,2.0,3,3.0,No,No,9,0,travel_rarely,1,, healthcare representative ,4,,81.0,20420.0,11103.0,11,0,1000000000,
349,783,45,Male,Single,,1978,,2,,0,"9,0",8,,3,1,1,3,1,3.0,1,3.0,No,No,2,1,travel_rarely,3,, sales representative ,2,954.0,46.0,12388.0,6632.0,13,0,1000000000,
350,789,36,Male,Single,,1987,Y,4,,1,"10,0",10,,0,9,1,1,2,3.0,2,3.0,No,,8,0,non-travel,1,, sales executive ,3,1434.0,76.0,14229.0,7587.0,15,0,1000000000,80.0
351,793,29,Female,Married,,1994,,3,Medical,4,"11,0",8,,1,1,1,3,1,2.0,3,3.0,No,No,27,1,,3,, healthcare representative ,2,657.0,66.0,25549.0,4335.0,12,1,1000000000,
352,803,38,Female,Single,,1985,,4,Life Sciences,6,"17,0",15,,4,12,1,1,4,3.0,4,3.0,No,,2,1,,2,, manufacturing director ,2,240.0,75.0,26085.0,5980.0,12,0,1000000000,
353,nan97,40,Female,,,1983,Y,2,Medical,1,"8,0",8,,3,7,1,2,4,3.0,4,4.0,No,No,13,1,,2,, healthcare representative ,2,791.0,38.0,9931.0,4244.0,24,1,1000000000,
354,809,42,Male,,,1981,,3,,1,"24,0",24,,14,9,1,4,2,2.0,3,3.0,No,No,8,1,travel_frequently,4,, manager ,5,570.0,66.0,16225.0,,13,1,1000000000,
355,823,36,Female,,,1987,,3,Other,0,,9,,0,5,1,2,1,3.0,3,3.0,No,,1,0,travel_rarely,2,, manufacturing director ,2,676.0,35.0,23361.0,5228.0,15,1,1000000000,
356,nan98,29,Male,Married,,1994,,2,,1,"10,0",10,,0,7,1,3,3,3.0,4,4.0,No,,23,1,travel_rarely,3,, research scientist ,1,,81.0,23779.0,2700.0,24,1,1000000000,
357,842,55,Male,Single,,1968,Y,1,Medical,4,,9,,7,3,1,4,3,2.0,3,3.0,Yes,,2,0,,3,, sales executive ,2,436.0,37.0,21519.0,,16,0,1000000000,80.0
358,nan99,28,Female,,,1995,Y,4,,1,"8,0",8,,7,5,1,2,1,3.0,3,4.0,No,,2,1,,2, Sales , sales executive ,2,760.0,81.0,3698.0,,20,0,1000000000,
359,nan100,26,Female,Married,,1997,,2,Medical,1,"8,0",8,,1,7,1,3,1,3.0,2,3.0,Yes,,5,1,,2,, research scientist ,1,,88.0,20898.0,2366.0,14,1,1000000000,
360,913,44,Male,,,1979,,2,,1,"8,0",8,,7,1,1,1,4,3.0,3,3.0,No,Yes,9,1,,0,, research scientist ,1,661.0,61.0,7508.0,,13,0,1000000000,80.0
361,927,41,Female,Divorced,,1982,,4,Life Sciences,4,,7,,1,0,1,4,3,2.0,1,3.0,Yes,Yes,2,1,,1, Research & Development , laboratory technician ,1,1085.0,57.0,17725.0,,13,1,1000000000,80.0
362,941,31,Male,,,1992,,4,,3,,7,,5,2,1,3,2,4.0,2,,No,,7,0,travel_rarely,2,, sales representative ,1,154.0,41.0,11737.0,2329.0,15,0,1000000000,80.0
363,956,26,Male,,,1997,Y,3,Medical,1,,7,,0,7,3,1,2,3.0,2,3.0,No,,28,1,travel_frequently,2, Sales , sales executive ,2,1283.0,52.0,11148.0,4294.0,12,0,1000000000,
364,nan101,31,Female,,,1992,,3,Medical,0,"10,0",9,,8,5,1,4,3,1.0,3,3.0,No,,12,0,,2,, healthcare representative ,2,616.0,41.0,17369.0,,11,2,1000000000,
365,966,32,Female,Married,,1991,,4,Medical,1,"8,0",8,,6,3,1,1,3,4.0,3,3.0,No,,3,0,,2,, manufacturing director ,2,498.0,93.0,13554.0,6725.0,12,1,1000000000,
366,967,36,Male,Married,,1987,Y,1,Life Sciences,1,,16,,3,7,1,4,1,3.0,2,,Yes,,3,0,travel_rarely,6,, sales executive ,3,530.0,51.0,5518.0,10325.0,11,1,1000000000,
367,972,45,Male,,,1978,,2,,1,,9,,0,8,4,2,2,2.0,3,3.0,No,,47,1,non-travel,5,, laboratory technician ,2,805.0,57.0,23163.0,4447.0,12,0,1000000000,
368,nan102,39,Male,Single,,1984,,5,,0,"9,0",8,,0,7,1,3,4,3.0,4,3.0,No,No,2,0,travel_rarely,3,, sales executive ,3,903.0,41.0,2560.0,,18,0,1000000000,
369,990,36,Male,Divorced,,1987,,4,Technical Degree,4,"12,0",7,,0,7,1,4,4,3.0,3,,No,No,8,1,non-travel,3,, sales executive ,2,1229.0,84.0,25952.0,,13,2,1000000000,
370,nan103,46,Male,,,1977,Y,2,Medical,6,,8,,0,7,1,3,2,3.0,3,3.0,No,,7,0,,3,, manufacturing director ,3,566.0,,24208.0,10845.0,13,1,1000000000,
371,1013,54,Female,,,1969,,3,Technical Degree,8,"22,0",10,,0,8,1,3,3,3.0,3,,No,,17,1,travel_rarely,2,, manufacturing director ,3,1441.0,56.0,13943.0,,11,1,1000000000,80.0
372,1015,30,Female,,,1993,Y,2,,0,,8,,1,7,1,1,3,2.0,4,3.0,No,Yes,8,1,travel_rarely,4,, research director ,3,153.0,73.0,17802.0,,12,3,1000000000,
373,1018,26,Male,Married,,1997,,2,Medical,1,,8,,1,3,1,4,2,3.0,4,3.0,No,,2,0,,2,, manufacturing director ,2,1066.0,32.0,3334.0,5472.0,12,0,1000000000,
374,1034,55,Male,Married,,1968,,4,Medical,3,,8,,6,7,1,2,4,3.0,3,3.0,No,,18,1,travel_frequently,3,, healthcare representative ,2,135.0,62.0,12992.0,6385.0,14,2,1000000000,80.0
375,nan104,50,Female,Married,,1973,Y,3,Life Sciences,0,,18,,0,13,1,3,1,3.0,3,3.0,No,,1,1,non-travel,3, Sales , sales executive ,2,145.0,95.0,24920.0,6347.0,12,1,1000000000,
376,1046,32,Female,Single,,1991,,4,,9,"10,0",8,,7,7,1,3,2,3.0,3,3.0,No,No,29,1,non-travel,2,, laboratory technician ,1,1109.0,69.0,11135.0,,12,0,1000000000,
377,1050,53,Female,,,1970,,3,Marketing,2,"30,0",15,,6,12,1,2,1,,2,3.0,No,,2,1,travel_frequently,2,, sales executive ,3,124.0,38.0,23537.0,7525.0,12,1,1000000000,
378,nan105,40,Male,Married,,1983,,3,,1,"8,0",7,,7,5,1,1,2,2.0,3,3.0,No,,26,0,travel_rarely,3,, sales executive ,2,300.0,74.0,22217.0,,14,1,1000000000,80.0
379,1074,55,Male,Single,,1968,,1,,7,,9,,6,2,1,1,2,4.0,2,3.0,No,No,2,1,,3,, manager ,4,444.0,40.0,17323.0,,15,0,1000000000,
380,1082,28,Male,Single,,1995,Y,2,,1,"10,0",10,,1,9,1,1,1,2.0,2,3.0,Yes,No,24,0,non-travel,2,, healthcare representative ,3,1366.0,72.0,12355.0,,12,0,1000000000,
381,1097,28,Female,Single,,1995,,3,Other,3,,8,,1,7,1,3,4,4.0,3,3.0,No,No,10,1,travel_rarely,4,, research scientist ,2,857.0,59.0,7909.0,3660.0,13,0,1000000000,80.0
382,1100,35,Male,,,1988,Y,3,Technical Degree,0,"9,0",8,,4,7,1,1,1,3.0,3,4.0,Yes,,4,1,,2,, sales executive ,3,1204.0,86.0,10333.0,,22,0,1000000000,80.0
383,1101,33,Female,Single,,1990,,4,Medical,1,"14,0",13,,3,8,3,3,2,3.0,2,4.0,Yes,No,36,1,travel_frequently,4, Research & Development , research scientist ,2,827.0,54.0,3129.0,,22,0,1000000000,
384,1106,25,Male,Married,,1998,Y,1,Technical Degree,1,"7,0",7,,5,6,1,4,2,4.0,3,,Yes,,4,1,,3, Research & Development , laboratory technician ,1,1219.0,32.0,4605.0,,15,1,1000000000,
385,1119,38,Male,,,1985,,4,,0,"9,0",8,,2,7,1,3,2,,2,3.0,No,Yes,10,1,,2, Sales , sales executive ,3,770.0,,5569.0,8740.0,14,2,1000000000,
386,nan106,28,Female,,,1995,,3,,0,,9,,1,7,1,2,2,2.0,3,3.0,No,,12,1,,3,, manufacturing director ,3,950.0,93.0,8039.0,,17,3,1000000000,80.0
387,1126,43,Female,Married,,1980,,3,Life Sciences,8,"18,0",8,,0,1,1,1,3,3.0,3,3.0,No,No,27,0,travel_frequently,1,, manufacturing director ,3,1082.0,83.0,11535.0,,11,1,1000000000,
388,nan107,39,Male,,,1984,,3,Life Sciences,7,"21,0",18,,11,5,1,4,4,3.0,3,3.0,Yes,No,2,0,travel_frequently,4, Research & Development , healthcare representative ,4,203.0,84.0,13547.0,,11,3,1000000000,
389,1128,40,Male,,,1983,Y,3,,1,,20,,4,9,1,3,1,,2,,No,No,14,1,travel_rarely,2,, research director ,5,1308.0,44.0,17544.0,,14,0,1000000000,80.0
390,nan108,29,Male,Married,,1994,,1,Medical,1,"10,0",10,,1,2,1,4,3,2.0,2,3.0,No,,8,1,travel_rarely,2,, manufacturing director ,2,718.0,79.0,17689.0,,15,1,1000000000,80.0
391,nan109,40,Female,,,1983,,4,,9,"20,0",18,,2,13,1,3,3,2.0,3,3.0,No,No,32,0,,3,, research director ,3,593.0,88.0,13782.0,13499.0,17,0,1000000000,
392,1177,26,Male,,,1997,Y,4,,1,"8,0",8,,0,7,1,4,2,3.0,4,4.0,No,,3,1,travel_rarely,2,, laboratory technician ,1,1384.0,82.0,13421.0,,22,1,1000000000,
393,1182,35,Male,Divorced,,1988,,3,,2,"15,0",7,,6,4,1,2,2,4.0,2,3.0,No,No,2,1,travel_rarely,2,, manufacturing director ,3,819.0,44.0,19588.0,,18,1,1000000000,80.0
394,1201,53,Female,Divorced,,1970,Y,2,Medical,3,"26,0",7,,4,7,1,3,2,3.0,3,3.0,No,No,7,0,,6, Research & Development , manager ,5,1223.0,50.0,18640.0,,18,1,1000000000,
395,1218,35,Male,,,1988,Y,4,Life Sciences,3,"15,0",7,,1,7,1,1,4,3.0,3,3.0,No,,17,1,,2,, sales executive ,2,1361.0,94.0,21026.0,,15,3,1000000000,
396,1220,33,Female,,,1990,,3,Medical,1,,10,,0,1,1,3,1,2.0,3,3.0,No,No,25,1,,3,, sales executive ,2,1146.0,,4905.0,,12,1,1000000000,
397,nan110,36,Male,Divorced,,1987,Y,4,Life Sciences,1,,7,,1,7,1,3,3,3.0,1,3.0,No,No,6,1,,4, Research & Development , laboratory technician ,1,,60.0,6865.0,,14,1,1000000000,
398,1224,30,Male,Divorced,,1993,,4,Life Sciences,1,,10,,8,9,1,3,1,2.0,3,,No,,7,1,travel_rarely,4,, laboratory technician ,2,853.0,49.0,11309.0,3491.0,13,3,1000000000,
399,nan111,60,Male,Divorced,,1963,,4,,0,"12,0",11,,1,9,3,4,2,3.0,4,3.0,No,,29,1,,3,, sales executive ,2,,52.0,10893.0,5220.0,18,1,1000000000,
400,1235,32,Female,Single,,1991,Y,2,Life Sciences,4,"10,0",8,,0,7,1,3,4,3.0,3,3.0,No,Yes,2,0,,2,, research scientist ,2,1316.0,38.0,2338.0,,14,0,1000000000,
401,1237,36,Female,Divorced,,1987,,3,Technical Degree,2,"17,0",7,,7,7,1,1,3,3.0,1,4.0,No,Yes,1,1,,2,, manufacturing director ,3,363.0,,4235.0,10252.0,21,1,1000000000,
402,nan112,27,Male,,,1996,,3,,1,,9,,6,8,1,1,4,2.0,3,3.0,No,,14,1,travel_rarely,3,, research scientist ,1,1103.0,42.0,14377.0,,14,2,1000000000,80.0
403,1255,43,Male,,,1980,Y,3,Life Sciences,3,,8,,0,7,1,4,2,3.0,1,3.0,No,No,3,1,,2, Research & Development , research director ,5,920.0,96.0,18625.0,19740.0,14,1,1000000000,80.0
404,1264,29,Female,Divorced,,1994,Y,3,,3,"9,0",7,,1,7,1,4,2,2.0,2,3.0,No,No,1,1,travel_rarely,2,, research director ,4,694.0,,3423.0,,14,2,1000000000,
405,1283,59,Male,Single,,1964,,4,,6,,9,,5,4,2,4,4,2.0,3,3.0,No,No,24,0,,6,, manufacturing director ,3,1429.0,67.0,20002.0,,12,0,1000000000,
406,1293,43,Female,Single,,1980,,4,Marketing,3,"23,0",21,,15,17,1,4,4,4.0,2,3.0,No,No,4,1,travel_rarely,3,, sales executive ,3,531.0,56.0,20364.0,,14,0,1000000000,
407,1295,44,Female,Married,,1979,Y,3,Medical,1,,10,,0,5,1,4,4,3.0,3,3.0,Yes,,15,1,travel_rarely,2,, healthcare representative ,3,621.0,73.0,14075.0,,11,1,1000000000,80.0
408,nan113,29,Female,Divorced,,1994,,3,Technical Degree,3,"10,0",7,,7,7,1,3,1,3.0,3,3.0,Yes,Yes,7,1,,2, Research & Development , laboratory technician ,1,806.0,39.0,17285.0,,13,2,1000000000,
409,nan114,32,Male,Married,,1991,,3,,1,,10,,0,8,1,4,3,4.0,4,3.0,No,,8,0,travel_rarely,4,, sales executive ,2,604.0,56.0,11693.0,6209.0,15,2,1000000000,
410,nan115,36,Female,Married,,1987,Y,4,Technical Degree,3,,7,,1,7,1,3,1,3.0,3,3.0,No,No,10,1,travel_rarely,0,, healthcare representative ,3,325.0,63.0,5747.0,7094.0,12,0,1000000000,
411,nan116,52,Male,Single,,1971,Y,3,,9,,8,,7,7,1,2,3,2.0,3,3.0,Yes,Yes,5,1,,2, Sales , sales executive ,3,1030.0,64.0,21534.0,,19,0,1000000000,
412,1322,39,Male,Single,,1984,,2,,0,,8,,1,7,1,3,1,,3,3.0,No,,33,1,travel_rarely,6,, manufacturing director ,2,524.0,32.0,13352.0,4534.0,11,0,1000000000,
413,1344,34,Male,,,1989,,3,,0,"10,0",9,,1,6,1,4,4,2.0,3,,No,,9,1,,0,, healthcare representative ,3,943.0,86.0,5494.0,8500.0,11,1,1000000000,80.0
414,1355,38,Female,,,1985,,2,Life Sciences,3,"11,0",7,,1,7,1,1,4,3.0,3,3.0,No,,2,1,,3,, sales executive ,2,1009.0,31.0,19461.0,,15,1,1000000000,
415,1362,36,Female,Married,,1987,Y,3,Marketing,2,,15,,6,13,1,1,4,2.0,4,3.0,No,No,12,1,travel_frequently,2, Sales , sales executive ,2,607.0,83.0,2261.0,4639.0,16,1,1000000000,
416,1369,35,Female,,,1988,Y,3,,0,"10,0",9,,0,0,1,4,2,3.0,2,3.0,No,No,1,0,,0,, laboratory technician ,2,817.0,60.0,10846.0,5363.0,12,1,1000000000,80.0
417,nan117,55,Male,,,1968,Y,4,,6,,19,,3,8,1,3,3,2.0,4,3.0,Yes,,13,1,,2,, sales executive ,4,,85.0,9277.0,,17,0,1000000000,80.0
418,1377,34,Male,,,1989,Y,3,,4,"10,0",8,,7,7,1,3,1,3.0,3,3.0,No,,29,0,,1,, laboratory technician ,2,,86.0,17491.0,,13,2,1000000000,
419,1402,43,Female,Single,,1980,,3,Medical,1,"20,0",20,,1,8,1,3,1,1.0,2,3.0,No,Yes,6,0,,3,, research scientist ,2,930.0,73.0,20003.0,4081.0,14,0,1000000000,
420,1408,42,Female,Married,,1981,,3,Human Resources,0,"21,0",20,,0,9,1,1,3,3.0,3,3.0,No,,10,0,travel_rarely,5,, manager ,4,1147.0,31.0,16616.0,,14,1,1000000000,80.0
421,1417,26,Male,Single,,1997,,3,,0,"8,0",7,,0,7,1,1,4,3.0,4,3.0,No,No,7,1,travel_rarely,2,, laboratory technician ,1,652.0,100.0,23577.0,3578.0,12,0,1000000000,
422,1421,29,Female,Single,,1994,,1,Other,0,,8,,7,7,1,4,1,3.0,3,3.0,Yes,Yes,14,1,,1,, healthcare representative ,3,337.0,84.0,22930.0,,12,0,1000000000,
423,1422,54,Female,,,1969,,3,,6,"29,0",20,,12,7,1,4,4,2.0,3,3.0,No,,1,0,,3, Research & Development , research director ,4,971.0,54.0,5652.0,17328.0,19,0,1000000000,
424,1424,55,Male,Divorced,,1968,Y,4,,2,"31,0",7,,0,0,1,4,4,4.0,4,3.0,No,No,1,1,,4,, research director ,4,1136.0,81.0,12414.0,,13,2,1000000000,80.0
425,nan118,40,Male,,,1983,Y,4,Other,3,"11,0",8,,0,7,1,3,3,,3,3.0,No,No,9,1,non-travel,2,, laboratory technician ,2,663.0,81.0,23099.0,,11,2,1000000000,80.0
426,nan119,31,Male,Divorced,,1992,,2,,1,"13,0",13,,9,9,1,4,1,3.0,3,,No,,8,1,,5,, sales executive ,3,326.0,31.0,8386.0,10793.0,18,1,1000000000,
427,1457,46,Male,Divorced,,1977,,3,Marketing,4,"28,0",7,,4,3,1,4,1,4.0,3,3.0,Yes,No,9,1,,1,, sales executive ,3,377.0,52.0,15986.0,,11,1,1000000000,
428,1460,45,Male,,,1978,Y,3,Medical,2,,7,,0,7,1,1,2,3.0,1,3.0,No,Yes,20,0,travel_rarely,2,, healthcare representative ,3,1038.0,95.0,19863.0,10851.0,18,1,1000000000,80.0
429,1484,49,Male,Divorced,,1974,Y,4,Life Sciences,3,"29,0",8,,0,7,1,2,2,3.0,3,3.0,No,,7,0,travel_rarely,3,, healthcare representative ,3,1490.0,35.0,20948.0,10466.0,14,2,1000000000,
430,1497,29,Male,,,1994,Y,3,,1,"10,0",10,,0,4,1,3,3,3.0,2,3.0,No,,19,1,travel_rarely,3,, sales executive ,2,1246.0,77.0,23757.0,,14,2,1000000000,
431,1522,29,Male,Single,,1994,Y,4,Technical Degree,6,,9,,0,7,1,1,3,1.0,2,3.0,Yes,No,1,1,,2,, research scientist ,1,224.0,100.0,7568.0,2362.0,13,0,1000000000,
432,1544,29,Female,,,1994,,1,Other,3,"9,0",7,,0,7,1,1,3,3.0,1,3.0,No,No,8,1,,3,, healthcare representative ,2,441.0,39.0,7288.0,,13,1,1000000000,
433,nan120,40,Male,Single,,1983,Y,2,,1,"21,0",21,,7,7,1,4,4,3.0,3,4.0,No,Yes,6,1,travel_rarely,2, Human Resources , manager ,4,898.0,38.0,17381.0,,21,0,1000000000,80.0
434,nan121,48,Female,Divorced,,1975,,4,Life Sciences,8,"18,0",8,,7,7,1,3,3,,3,3.0,No,No,16,1,,2, Sales , sales executive ,2,,96.0,13693.0,6439.0,14,1,1000000000,
435,1572,53,Female,Married,,1970,,5,,0,,33,,1,9,1,4,2,3.0,2,3.0,Yes,,2,1,,4,, manufacturing director ,3,607.0,78.0,14618.0,,16,1,1000000000,
436,1608,44,Female,,,1979,,3,Medical,0,,22,,1,10,1,4,4,2.0,3,,No,Yes,7,0,,4,, research director ,5,1313.0,31.0,3549.0,,14,1,1000000000,80.0
437,1611,45,Female,,,1978,Y,5,,1,"10,0",10,,1,4,1,1,1,3.0,1,3.0,No,,5,0,,3,, laboratory technician ,2,1015.0,50.0,23447.0,5769.0,14,0,1000000000,
438,1612,45,Male,,,1978,Y,3,Marketing,1,"10,0",10,,4,5,1,1,1,,2,,No,,26,0,non-travel,2,, sales executive ,2,,52.0,24162.0,4385.0,15,1,1000000000,80.0
439,1615,34,Male,,,1989,,4,,1,"9,0",9,,7,2,1,4,1,,4,3.0,No,,10,1,travel_frequently,3,, manufacturing director ,2,426.0,42.0,17000.0,,13,1,1000000000,
440,nan122,39,Male,,,1984,Y,5,Medical,2,,7,,7,7,1,1,4,3.0,3,3.0,No,,10,0,,3, Research & Development , manufacturing director ,2,1387.0,76.0,3835.0,,13,3,1000000000,
441,1619,27,Male,Divorced,,1996,,3,,1,"7,0",7,,0,7,3,1,1,3.0,2,3.0,No,No,36,1,,3, Research & Development , laboratory technician ,1,1302.0,,16290.0,4066.0,11,2,1000000000,
442,1635,45,Female,Divorced,,1978,,2,,1,"10,0",10,,3,9,1,4,1,3.0,2,3.0,No,,2,1,travel_rarely,3,, manufacturing director ,2,1329.0,59.0,5388.0,,19,2,1000000000,
443,1642,44,Male,Married,,1979,,5,,4,"14,0",10,,0,2,1,4,3,3.0,3,3.0,No,Yes,1,1,,3,, human resources ,2,602.0,37.0,10503.0,,11,0,1000000000,
444,1653,25,Male,Divorced,,1998,,1,Life Sciences,1,"7,0",7,,0,7,1,3,3,3.0,4,3.0,No,,2,0,,6,, manufacturing director ,2,772.0,77.0,4973.0,5206.0,17,2,1000000000,
445,nan123,49,Male,Single,,1974,Y,3,,4,"23,0",8,,0,0,1,3,1,3.0,3,3.0,No,,1,1,,2,, manager ,4,809.0,36.0,22384.0,,14,0,1000000000,80.0
446,1691,48,Female,,,1975,,2,,2,"19,0",9,,7,7,1,3,3,3.0,3,,Yes,,7,0,travel_frequently,3,, sales representative ,1,,95.0,11740.0,2655.0,11,2,1000000000,80.0
447,1693,26,Male,,,1997,,3,Medical,1,"7,0",7,,5,7,1,4,3,3.0,3,4.0,No,No,7,1,,5,, laboratory technician ,1,786.0,76.0,11925.0,2570.0,20,0,1000000000,80.0
448,1703,44,Female,,,1979,,3,Life Sciences,1,,8,,6,7,1,4,2,3.0,4,,No,,2,1,travel_rarely,2,, healthcare representative ,3,921.0,96.0,14810.0,,19,1,1000000000,
449,nan124,36,Female,Single,,1987,Y,4,,3,"17,0",13,,6,7,1,4,3,2.0,3,,No,,2,1,,2,, sales representative ,2,530.0,51.0,7439.0,4502.0,15,0,1000000000,
450,1727,46,Male,Single,,1977,,4,,6,"19,0",10,,0,9,1,2,4,3.0,3,3.0,No,No,13,1,,3, Research & Development , healthcare representative ,2,717.0,34.0,9697.0,,14,0,1000000000,
451,1728,35,Male,Married,,1988,Y,4,Life Sciences,2,"17,0",7,,0,7,1,3,2,3.0,3,3.0,No,,27,1,,3,, manufacturing director ,2,1370.0,49.0,5151.0,,16,1,1000000000,80.0
452,1745,30,Female,,,1993,Y,4,,0,"10,0",9,,0,7,1,1,4,,2,3.0,No,,2,0,travel_frequently,2,, research scientist ,1,1312.0,78.0,26427.0,4968.0,16,0,1000000000,80.0
453,1754,30,Male,,,1993,,2,Marketing,2,,7,,1,7,1,1,1,3.0,2,3.0,No,No,15,1,,2,, sales executive ,3,979.0,94.0,3088.0,,11,1,1000000000,80.0
454,1756,33,Female,,,1990,,3,Marketing,8,"13,0",11,,1,7,1,2,4,2.0,3,3.0,No,No,2,1,non-travel,2,, sales executive ,2,1283.0,62.0,10697.0,5147.0,15,0,1000000000,
455,1764,32,Male,Single,,1991,Y,4,,2,"12,0",7,,0,7,1,2,2,3.0,3,3.0,No,No,5,1,,3,, research scientist ,1,953.0,65.0,17674.0,2718.0,14,0,1000000000,
456,1778,43,Male,,,1980,Y,3,Life Sciences,0,,9,,1,8,1,4,2,3.0,3,3.0,No,No,2,0,travel_rarely,5,, human resources ,1,244.0,97.0,5033.0,3539.0,13,0,1000000000,80.0
457,nan125,31,Female,,,1992,,4,Marketing,1,,12,,5,7,1,4,1,3.0,2,3.0,No,,29,1,travel_rarely,3,, sales executive ,2,196.0,91.0,13402.0,5468.0,14,2,1000000000,
458,1797,35,Male,,,1988,,3,,1,,10,,7,7,1,4,4,3.0,3,3.0,Yes,,27,0,,2,, sales executive ,2,303.0,84.0,13492.0,5813.0,18,0,1000000000,80.0
459,1804,35,Male,Divorced,,1988,,2,Medical,2,"15,0",7,,1,7,1,4,3,3.0,3,3.0,No,No,2,0,non-travel,6, Research & Development , manufacturing director ,2,1180.0,90.0,24442.0,,14,1,1000000000,
460,1816,30,Female,Single,,1993,Y,3,Medical,9,"9,0",7,,0,2,1,3,2,3.0,3,3.0,No,No,10,0,,3,, manufacturing director ,3,1092.0,64.0,2739.0,9667.0,14,0,1000000000,
461,1821,46,Female,Married,,1977,,2,Medical,4,"13,0",9,7.0,3,7,1,2,4,4.0,3,4.0,Yes,No,19,0,travel_rarely,2,, healthcare representative ,2,261.0,66.0,10842.0,,22,1,1000000000,
462,nan126,45,Female,Married,,1978,Y,4,,4,"10,0",8,,5,7,1,3,2,4.0,3,4.0,No,,2,0,non-travel,3,, sales executive ,2,589.0,67.0,19665.0,5154.0,22,2,1000000000,
463,1849,43,Male,Married,,1980,,4,Life Sciences,1,"7,0",7,,7,7,1,4,3,3.0,3,4.0,No,,2,0,travel_frequently,5,, sales executive ,2,1422.0,92.0,19246.0,5675.0,20,1,1000000000,
464,1869,46,Female,,,1977,Y,3,Life Sciences,5,"14,0",8,,0,7,1,2,3,3.0,3,4.0,Yes,,10,1,,2,, sales executive ,3,,64.0,14011.0,7314.0,21,3,1000000000,80.0
465,nan127,40,Male,,,1983,Y,4,,2,"22,0",19,,11,16,1,1,1,,3,3.0,No,,1,1,travel_rarely,3, Research & Development , manager ,4,1137.0,98.0,18991.0,,11,1,1000000000,
466,1898,27,Female,Single,,1996,Y,2,,0,"9,0",8,,0,7,1,3,2,2.0,4,3.0,No,No,2,0,travel_rarely,5, Sales , sales executive ,2,511.0,89.0,26997.0,,14,0,1000000000,
467,1911,42,Male,Married,,1981,Y,3,Medical,9,"18,0",13,,5,7,1,1,2,4.0,3,3.0,No,No,6,1,,3,, research director ,3,1396.0,83.0,14842.0,,13,1,1000000000,80.0
468,nan128,26,Male,Married,,1997,,3,Other,0,"8,0",7,,7,7,1,4,1,3.0,4,3.0,No,No,6,1,travel_frequently,3,, laboratory technician ,1,1096.0,61.0,7102.0,,18,1,1000000000,
469,1927,28,Male,Married,,1995,,2,Life Sciences,1,"7,0",7,,0,7,1,4,3,3.0,2,3.0,No,,1,1,travel_frequently,2,, sales executive ,2,,42.0,19255.0,,12,1,1000000000,
470,1934,47,Male,Married,,1976,Y,4,,8,,8,,1,7,1,2,3,4.0,3,3.0,No,,14,0,,4,, research scientist ,2,1169.0,64.0,2125.0,,18,1,1000000000,80.0
